iter	Passed	Remaining
413	3165	4479
414	3176	4478
415	3188	4475
416	3194	4466
417	3205	4462
418	3211	4452
419	3219	4445
420	3225	4436
421	3232	4427
422	3240	4420
423	3247	4411
424	3253	4401
425	3257	4389
426	3270	4388
427	3285	4391
428	3293	4384
429	3301	4376
430	3305	4364
431	3313	4356
432	3316	4343
433	3320	4330
434	3324	4318
435	3328	4305
436	3330	4291
437	3334	4278
438	3337	4265
439	3342	4254
440	3345	4240
441	3349	4227
442	3351	4214
443	3355	4201
444	3359	4189
445	3362	4176
446	3366	4164
447	3369	4151
448	3376	4143
449	3381	4132
450	3384	4119
451	3389	4109
452	3393	4097
453	3396	4084
454	3399	4072
455	3405	4062
456	3408	4050
457	3412	4038
458	3415	4025
459	3420	4015
460	3424	4003
461	3427	3991
462	3431	3979
463	3435	3968
464	3439	3956
465	3442	3944
466	3446	3933
467	3451	3923
468	3454	3911
469	3457	3899
470	3461	3887
471	3464	3875
472	3469	3865
473	3472	3853
474	3475	3841
475	3478	3829
476	3483	3819
477	3486	3807
478	3490	3796
479	3493	3784
480	3497	3774
481	3501	3762
482	3504	3751
483	3508	3740
484	3513	3730
485	3516	3719
486	3520	3708
487	3523	3696
488	3527	3686
489	3531	3675
490	3534	3664
491	3537	3652
492	3541	3642
493	3546	3632
494	3549	3621
495	3553	3610
496	3556	3599
497	3561	3589
498	3564	3578
499	3566	3566
500	3570	3556
501	3573	3545
502	3579	3536
503	3583	3526
504	3586	3515
505	3591	3506
506	3594	3495
507	3598	3484
508	3601	3474
509	3604	3463
510	3609	3453
511	3612	3443
512	3616	3433
513	3619	3422
514	3624	3413
515	3628	3403
516	3631	3392
517	3635	3382
518	3639	3373
519	3643	3362
520	3646	3352
521	3650	3343
522	3655	3333
523	3659	3324
524	3664	3315
525	3674	3311
526	3678	3301
527	3681	3291
528	3687	3283
529	3693	3275
530	3698	3266
531	3702	3256
532	3711	3251
533	3715	3242
534	3725	3238
535	3729	3228
536	3738	3223
537	3740	3211
538	3743	3202
539	3747	3192
540	3755	3186
541	3758	3176
542	3762	3166
543	3767	3158
544	3772	3149
545	3775	3139
546	3779	3130
547	3787	3123
548	3790	3113
549	3794	3104
550	3804	3099
551	3807	3090
552	3813	3082
553	3819	3075
554	3822	3065
555	3826	3055
556	3835	3050
557	3839	3040
558	3842	3031
559	3851	3026
560	3854	3016
561	3856	3005
562	3862	2998
563	3869	2991
564	3872	2981
565	3874	2971
566	3883	2965
567	3886	2956
568	3890	2946
569	3905	2945
570	3916	2942
571	3918	2932
572	3921	2922
573	3930	2917
574	3934	2907
575	3937	2898
576	3944	2892
577	3948	2883
578	3952	2873
579	3958	2866
580	3963	2858
581	3967	2849
582	3973	2841
583	3981	2835
584	3990	2831
585	3995	2822
586	3998	2813
587	4007	2808
588	4011	2799
589	4013	2789
590	4020	2782
591	4025	2774
592	4027	2764
593	4031	2755
594	4042	2751
595	4045	2742
596	4052	2735
597	4058	2728
598	4062	2719
599	4069	2713
600	4073	2704
601	4077	2695
602	4084	2689
603	4088	2680
604	4090	2670
605	4094	2662
606	4102	2656
607	4105	2647
608	4109	2638
609	4117	2632
610	4121	2624
611	4126	2615
612	4135	2611
613	4138	2601
614	4143	2593
615	4149	2586
616	4152	2577
617	4158	2570
618	4164	2563
619	4167	2554
620	4171	2545
621	4179	2539
622	4182	2531
623	4186	2522
624	4193	2516
625	4197	2507
626	4200	2498
627	4209	2493
628	4212	2484
629	4216	2476
630	4219	2467
631	4227	2461
632	4231	2453
633	4238	2446
634	4243	2439
635	4246	2430
636	4249	2421
637	4256	2415
638	4261	2407
639	4265	2399
640	4272	2392
641	4275	2384
642	4280	2376
643	4290	2371
644	4295	2364
645	4301	2357
646	4307	2350
647	4310	2341
648	4314	2333
649	4321	2327
650	4326	2319
651	4330	2311
652	4336	2304
653	4339	2296
654	4344	2288
655	4355	2283
656	4359	2276
657	4365	2269
658	4369	2260
659	4372	2252
660	4375	2243
661	4380	2236
662	4384	2228
663	4388	2220
664	4391	2212
665	4401	2207
666	4405	2199
667	4413	2193
668	4417	2185
669	4420	2177
670	4423	2168
671	4428	2161
672	4432	2153
673	4437	2146
674	4446	2140
675	4450	2132
676	4453	2124
677	4462	2119
678	4467	2112
679	4470	2103
680	4479	2098
681	4483	2090
682	4486	2082
683	4495	2076
684	4498	2068
685	4501	2060
686	4507	2053
687	4511	2045
688	4515	2038
689	4518	2029
690	4526	2024
691	4529	2016
692	4532	2008
693	4541	2002
694	4545	1994
695	4548	1986
696	4557	1981
697	4561	1973
698	4564	1965
699	4569	1958
700	4574	1951
701	4578	1943
702	4582	1935
703	4590	1930
704	4594	1922
705	4598	1915
706	4605	1908
707	4608	1900
708	4612	1892
709	4620	1887
710	4623	1879
711	4626	1871
712	4633	1865
713	4638	1857
714	4641	1850
715	4643	1841
716	4654	1837
717	4658	1829
718	4662	1822
719	4668	1815
720	4671	1807
721	4675	1800
722	4683	1794
723	4687	1786
724	4690	1779
725	4696	1772
726	4700	1764
727	4703	1757
728	4706	1749
729	4713	1743
730	4715	1735
731	4719	1727
732	4722	1720
733	4727	1713
734	4731	1705
735	4733	1697
736	4739	1691
737	4748	1685
738	4751	1678
739	4755	1670
740	4761	1664
741	4764	1656
742	4767	1649
743	4772	1642
744	4777	1635
745	4780	1627
746	4784	1620
747	4789	1613
748	4792	1606
749	4795	1598
750	4798	1591
751	4802	1583
752	4807	1576
753	4810	1569
754	4813	1562
755	4817	1554
756	4822	1547
757	4825	1540
758	4828	1533
759	4832	1525
760	4836	1519
761	4840	1511
762	4843	1504
763	4847	1497
764	4851	1490
765	4855	1483
766	4858	1475
767	4861	1468
768	4865	1461
769	4869	1454
770	4872	1447
771	4876	1440
772	4879	1432
773	4884	1426
774	4887	1419
775	4891	1411
776	4894	1404
777	4898	1397
778	4902	1390
779	4905	1383
780	4909	1376
781	4913	1369
782	4916	1362
783	4920	1355
784	4923	1348
785	4927	1341
786	4931	1334
787	4934	1327
788	4938	1320
789	4941	1313
790	4947	1307
791	4950	1300
792	4953	1293
793	4957	1286
794	4962	1279
795	4965	1272
796	4969	1265
797	4971	1258
798	4976	1251
799	4979	1244
800	4982	1237
801	4985	1230
802	4989	1223
803	4994	1217
804	4997	1210
805	5001	1203
806	5004	1196
807	5009	1190
808	5012	1183
809	5016	1176
810	5019	1169
811	5024	1163
812	5027	1156
813	5030	1149
814	5034	1142
815	5041	1136
816	5044	1129
817	5047	1123
818	5051	1116
819	5055	1109
820	5059	1103
821	5061	1096
822	5065	1089
823	5069	1082
824	5073	1076
825	5076	1069
826	5079	1062
827	5083	1055
828	5088	1049
829	5091	1042
830	5094	1036
831	5097	1029
832	5102	1022
833	5106	1016
834	5109	1009
835	5113	1003
836	5117	996
837	5121	990
838	5124	983
839	5128	976
840	5132	970
841	5136	963
842	5140	957
843	5143	950
844	5147	944
845	5151	937
846	5154	931
847	5157	924
848	5161	917
849	5165	911
850	5169	905
851	5172	898
852	5176	892
853	5180	885
854	5184	879
855	5187	872
856	5191	866
857	5195	859
858	5199	853
859	5203	847
860	5206	840
861	5211	834
862	5215	827
863	5220	821
864	5224	815
865	5230	809
866	5234	802
867	5238	796
868	5242	790
869	5249	784
870	5252	777
871	5256	771
872	5265	765
873	5269	759
874	5272	753
875	5283	747
876	5286	741
877	5294	735
878	5300	729
879	5304	723
880	5312	717
881	5316	711
882	5319	704
883	5326	698
884	5330	692
885	5334	686
886	5340	680
887	5344	674
888	5347	667
889	5352	661
890	5358	655
891	5361	649
892	5366	643
893	5374	637
894	5377	630
895	5381	624
896	5386	618
897	5393	612
898	5396	606
899	5402	600
900	5406	594
901	5410	587
902	5413	581
903	5418	575
904	5421	569
905	5425	562
906	5429	556
907	5432	550
908	5436	544
909	5439	537
910	5442	531
911	5446	525
912	5450	519
913	5453	513
914	5456	506
915	5460	500
916	5464	494
917	5467	488
918	5471	482
919	5474	476
920	5478	469
921	5483	463
922	5486	457
923	5489	451
924	5493	445
925	5498	439
926	5501	433
927	5504	427
928	5508	420
929	5514	415
930	5518	409
931	5522	402
932	5527	396
933	5531	390
934	5535	384
935	5539	378
936	5544	372
937	5547	366
938	5551	360
939	5555	354
940	5559	348
941	5563	342
942	5566	336
943	5570	330
944	5574	324
945	5578	318
946	5581	312
947	5585	306
948	5589	300
949	5592	294
950	5595	288
951	5599	282
952	5602	276
953	5607	270
954	5610	264
955	5616	258
956	5620	252
957	5624	246
958	5627	240
959	5631	234
960	5634	228
961	5638	222
962	5642	216
963	5645	210
964	5649	204
965	5653	199
966	5657	193
967	5661	187
968	5665	181
969	5669	175
970	5673	169
971	5676	163
972	5680	157
973	5684	151
974	5688	145
975	5691	139
976	5695	134
977	5699	128
978	5702	122
979	5706	116
980	5710	110
981	5713	104
982	5717	98
983	5721	93
984	5724	87
985	5728	81
986	5732	75
987	5736	69
988	5739	63
989	5743	58
990	5747	52
991	5750	46
992	5754	40
993	5757	34
994	5762	28
995	5765	23
996	5769	17
997	5772	11
998	5776	5
999	5780	0
